code,name,description,language,category,category-name,category-description
520,Shares in collective investment vehicles,Collective undertakings through which investors pool funds for investment in financial or nonfinancial assets or both. These vehicles issue shares (if a corporate structure is used) or units (if a trust structure is used).,en,500,EQUITY AND SHARES IN COLLECTIVE INVESTMENT VEHICLES,Investment in a country on the DAC List of ODA Recipients that is not made to acquire a lasting interest in an enterprise.
530,Reinvested earnings,This item is only applicable to Foreign Direct Investment (FDI). Reinvested earnings on FDI consist of the retained earnings of a direct foreign investment enterprise which are treated as if they were distributed and remitted to foreign direct investors in proportion to their ownership of the equity of the enterprise and then reinvested by them in the enterprise.,en,500,EQUITY AND SHARES IN COLLECTIVE INVESTMENT VEHICLES,Investment in a country on the DAC List of ODA Recipients that is not made to acquire a lasting interest in an enterprise.
610,Debt forgiveness/conversion: ODA claims (P),,en,600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club."
611,Debt forgiveness/conversion: ODA claims (I),,en,600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club."
612,Debt forgiveness/conversion: OOF claims (P),,en,600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club."
613,Debt forgiveness/conversion: OOF claims (I),,en,600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club."
614,Debt forgiveness/conversion: Private claims (P),,en,600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club."
615,Debt forgiveness/conversion: Private claims (I),,en,600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club."
616,Debt forgiveness: OOF claims (DSR),,en,600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club."
617,Debt forgiveness: Private claims (DSR),,en,600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club."
618,Debt forgiveness: Other,,en,600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club."
620,Debt rescheduling: ODA claims (P),,en,600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club."
621,Debt rescheduling: ODA claims (I),,en,600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club."
622,Debt rescheduling: OOF claims (P),,en,600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club."
623,Debt rescheduling: OOF claims (I),,en,600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club."
624,Debt rescheduling: Private claims (P),,en,600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club."
625,Debt rescheduling: Private claims (I),,en,600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club."
626,Debt rescheduling: OOF claims (DSR),,en,600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club."
627,Debt rescheduling: Private claims (DSR),,en,600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club."
630,Debt rescheduling: OOF claim (DSR – original loan principal),,en,600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club."
631,Debt rescheduling: OOF claim (DSR – original loan interest),,en,600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club."
632,Debt rescheduling: Private claim (DSR – original loan principal),,en,600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club."
633,Debt forgiveness/conversion: export credit claims (P),,en,600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club."
634,Debt forgiveness/conversion: export credit claims (I),,en,600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club."
635,Debt forgiveness: export credit claims (DSR),,en,600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club."
636,Debt rescheduling: export credit claims (P),,en,600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club."
637,Debt rescheduling: export credit claims (I),,en,600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club."
638,Debt rescheduling: export credit claims (DSR),,en,600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club."
639,Debt rescheduling: export credit claim (DSR – original loan principal),,en,600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club."
710,Foreign direct investment,,en,700,INVESTMENT,Investment made by a private entity resident in a reporting country to acquire or add to a lasting interest(1) in an enterprise in a country on the DAC List of ODA Recipients.
711,"Other foreign direct investment, including reinvested earnings",,en,700,INVESTMENT,Investment made by a private entity resident in a reporting country to acquire or add to a lasting interest(1) in an enterprise in a country on the DAC List of ODA Recipients.
810,Bank bonds,,en,800,BONDS,Acquisition of bonds issued by developing countries.
811,Non-bank bonds,,en,800,BONDS,Acquisition of bonds issued by developing countries.
910,Other bank securities/claims,,en,900,OTHER SECURITIES/CLAIMS,
911,Other non-bank securities/claims,,en,900,OTHER SECURITIES/CLAIMS,
912,Securities and other instruments issued by multilateral agencies,,en,900,OTHER SECURITIES/CLAIMS,
1100,Guarantees/insurance,"A guarantee refers to a risk-sharing agreement under which the guarantor agrees to pay part or the entire amount due on a loan, equity or other instrument to the lender/investor in the event of non-payment by the borrower or loss of value in case of investment. Other unfunded contingent liabilities refer to other instruments that do not constitute a flow as such but may be also collected in future.",en,1000,GUARANTEES AND OTHER UNFUNDED CONTINGENT LIABILITIES,
